timestamp,instance_id,total_cold_start_time_us,module_load_time_us,module_compile_time_us,instantiation_time_us,execution_time_us,memory_usage_kb
1746760786,1,647755,0,9755,150,134,0
1746760788,2,557067,0,18,101,101,212
1746760789,3,561175,0,18,105,147,188
1746760791,4,566215,0,18,98,105,18446744073709552000
1746760792,5,545192,0,24,108,133,18446744073709552000
1746760793,6,548437,0,18,96,106,0
1746760795,7,546320,0,36,111,134,18446744073709552000
1746760796,8,554351,0,18,97,105,18446744073709552000
1746760798,9,550124,0,18,99,109,0
1746760799,10,542817,0,38,107,132,18446744073709552000
1746760800,11,538057,0,18,107,103,0
1746760802,12,540595,0,18,101,103,0
1746760803,13,544191,0,18,101,102,52
1746760805,14,542102,0,18,104,130,0
1746760806,15,543696,0,18,101,102,0
1746760807,16,562789,0,25,102,100,0
1746760809,17,550956,0,18,96,99,0
1746760810,18,544041,0,18,105,101,0
1746760812,19,537146,0,18,88,98,0
1746760813,20,549722,0,18,103,127,28
1746760815,21,536439,0,18,102,102,0
1746760816,22,538496,0,18,93,107,0
1746760817,23,538952,0,18,101,105,0
1746760819,24,538906,0,18,104,102,0
1746760820,25,533246,0,18,101,103,0
1746760822,26,549988,0,18,101,100,0
1746760823,27,543700,0,18,105,103,0
1746760824,28,541364,0,18,104,108,28
1746760826,29,535973,0,18,106,128,0
1746760827,30,536858,0,18,100,100,0
1746760829,31,539611,0,18,100,101,0
1746760830,32,532233,0,18,102,101,0
1746760831,33,538305,0,18,102,103,0
1746760833,34,539233,0,18,103,101,0
1746760834,35,537912,0,18,101,101,0
1746760836,36,535263,0,18,103,102,0
1746760837,37,539889,0,18,99,101,0
1746760838,38,548339,0,18,95,107,180
1746760840,39,532889,0,18,102,128,0
1746760841,40,549630,0,18,102,108,0
1746760843,41,552632,0,19,104,101,0
1746760844,42,541836,0,18,113,129,28
1746760846,43,544433,0,19,104,101,0
1746760847,44,545659,0,18,105,113,0
1746760848,45,543696,0,34,105,131,16
1746760850,46,543241,0,18,101,102,0
1746760851,47,544122,0,18,102,103,28
1746760853,48,547362,0,18,101,127,0
1746760854,49,541861,0,18,99,101,0
1746760855,,,,,,,
